Symbol,AvgReturn
AAPL,0.003270442063430142
ACN,0.009220753888553875
AMZN,-0.02279961952595676
APTV,-0.009332823386088039
BAC,0.010952095540786829
C,-0.0035679220492777185
CMCSA,-0.00984465747601503
COST,0.015238732906308568
CTSH,-0.009983940115848144
CVS,0.015305192328488733
DG,0.012934701792478933
DIS,-0.024196239397308725
DRI,0.012124677802933624
DXC,0.004155588811598373
F,0.01611872262487964
FDX,-0.005995278095735296
GE,0.004962767542688124
GM,-0.012069830641287005
GOOGL,0.0018483723392998073
HCA,0.023727690606506383
HD,0.011636010402691601
HLT,0.014400571064125154
IBM,0.015991830420613168
INTC,-0.0259036564313397
JPM,0.007645342257123245
KR,0.016312499986664005
LOW,0.011777746255270997
MAR,0.016028916076744778
MSFT,0.004645820425792685
ORCL,0.01888052390631386
PEP,0.015565140895434742
SBUX,0.006028107084845247
T,0.002977886971032474
TGT,-0.0014636873811699805
TJX,0.013254815035776529
UNH,0.02333337043983736
UPS,0.011422763138612737
WBA,-0.005345440785236901
WFC,0.01999882485429223
WMT,0.0036339244767193
